Частота (Гц)	Уровень (дБ)
1.953125	-39.128719
3.906250	-41.488121
5.859375	-44.294643
7.812500	-45.160362
9.765625	-46.527142
11.718750	-48.943272
13.671875	-34.370060
15.625000	-30.687231
17.578125	-36.051411
19.531250	-34.860188
21.484375	-33.761509
23.437500	-37.450615
25.390625	-38.821629
27.343750	-38.785919
29.296875	-52.744984
31.250000	-34.325165
33.203125	-36.806839
35.156250	-38.434841
37.109375	-32.840809
39.062500	-35.470188
41.015625	-38.707493
42.968750	-50.004791
44.921875	-46.794903
46.875000	-43.265377
48.828125	-40.595966
50.781250	-33.333046
52.734375	-35.505558
54.687500	-42.127304
56.640625	-45.628117
58.593750	-38.562065
60.546875	-44.116993
62.500000	-42.945698
64.453125	-34.064728
66.406250	-31.802485
68.359375	-35.600456
70.312500	-44.286812
72.265625	-35.706409
74.218750	-38.235012
76.171875	-39.961559
78.125000	-38.953949
80.078125	-34.636318
82.031250	-31.981936
83.984375	-37.180271
85.937500	-37.428497
87.890625	-33.544361
89.843750	-38.640110
91.796875	-44.301693
93.750000	-41.659111
95.703125	-40.753731
97.656250	-43.816364
99.609375	-39.898647
101.562500	-43.527721
103.515625	-36.677261
105.468750	-35.341919
107.421875	-38.455826
109.375000	-40.647575
111.328125	-46.294537
113.281250	-68.975311
115.234375	-44.672920
117.187500	-43.128323
119.140625	-41.563782
121.093750	-38.343212
123.046875	-38.339790
125.000000	-42.908665
126.953125	-45.724598
128.906250	-43.614822
130.859375	-40.196617
132.812500	-42.389019
134.765625	-33.988293
136.718750	-33.804039
138.671875	-42.706299
140.625000	-44.969864
142.578125	-48.400829
144.531250	-33.599319
146.484375	-29.520411
148.437500	-38.226242
150.390625	-35.023247
152.343750	-34.119797
154.296875	-37.794579
156.250000	-38.686405
158.203125	-43.895359
160.156250	-45.555630
162.109375	-41.866585
164.062500	-40.169502
166.015625	-34.335850
167.968750	-38.222572
169.921875	-37.520950
171.875000	-36.370216
173.828125	-45.068119
175.781250	-52.542240
177.734375	-39.549175
179.687500	-34.097092
181.640625	-37.882374
183.593750	-37.338989
185.546875	-38.497959
187.500000	-39.519661
189.453125	-35.605278
191.406250	-45.965652
193.359375	-37.425030
195.312500	-40.844578
197.265625	-32.927292
199.218750	-32.366627
201.171875	-35.046360
203.125000	-38.222614
205.078125	-39.650021
207.031250	-36.326256
208.984375	-37.424747
210.937500	-36.047745
212.890625	-42.080696
214.843750	-39.662071
216.796875	-38.919247
218.750000	-41.370674
220.703125	-35.253990
222.656250	-38.506763
224.609375	-38.914604
226.562500	-54.811649
228.515625	-40.557079
230.468750	-37.752548
232.421875	-35.293232
234.375000	-41.637981
236.328125	-37.668152
238.281250	-35.075314
240.234375	-39.573582
242.187500	-33.274155
244.140625	-34.558460
246.093750	-39.930645
248.046875	-50.296558
250.000000	-37.797668
251.953125	-40.152157
253.906250	-37.246151
255.859375	-37.008991
257.812500	-35.283859
259.765625	-36.959175
261.718750	-33.213505
263.671875	-30.871088
265.625000	-32.415405
267.578125	-31.643034
269.531250	-30.581789
271.484375	-34.277863
273.437500	-41.237259
275.390625	-43.857674
277.343750	-39.639042
279.296875	-42.273079
281.250000	-32.137699
283.203125	-36.554333
285.156250	-45.811359
287.109375	-45.124405
289.062500	-44.300797
291.015625	-34.241222
292.968750	-35.020882
294.921875	-37.168507
296.875000	-38.442139
298.828125	-39.865349
300.781250	-43.232811
302.734375	-35.669365
304.687500	-40.082539
306.640625	-38.896046
308.593750	-50.564629
310.546875	-39.343353
312.500000	-39.388241
314.453125	-34.085300
316.406250	-37.225449
318.359375	-41.207298
320.312500	-40.646572
322.265625	-37.705990
324.218750	-43.962475
326.171875	-32.291870
328.125000	-31.969400
330.078125	-38.406212
332.031250	-41.619831
333.984375	-43.849735
335.937500	-40.369289
337.890625	-44.739449
339.843750	-36.176502
341.796875	-36.447449
343.750000	-31.661522
345.703125	-33.934944
347.656250	-40.911667
349.609375	-34.985317
351.562500	-36.543816
353.515625	-39.510071
355.468750	-42.530964
357.421875	-41.224449
359.375000	-47.177834
361.328125	-40.636909
363.281250	-36.890068
365.234375	-37.097256
367.187500	-38.320374
369.140625	-37.711063
371.093750	-44.864243
373.046875	-39.280949
375.000000	-36.104481
376.953125	-33.223755
378.906250	-36.823574
380.859375	-52.459709
382.812500	-43.178913
384.765625	-34.160473
386.718750	-31.102364
388.671875	-39.271637
390.625000	-41.490463
392.578125	-36.774807
394.531250	-43.854736
396.484375	-38.675587
398.437500	-34.021759
400.390625	-37.153610
402.343750	-35.280380
404.296875	-38.953770
406.250000	-49.957813
408.203125	-33.239521
410.156250	-33.668926
412.109375	-33.634392
414.062500	-60.186066
416.015625	-34.819328
417.968750	-37.460674
419.921875	-38.957523
421.875000	-38.803223
423.828125	-40.236790
425.781250	-34.864029
427.734375	-39.910576
429.687500	-46.093822
431.640625	-48.777313
433.593750	-33.815571
435.546875	-39.987186
437.500000	-44.670780
439.453125	-44.166470
441.406250	-38.354336
443.359375	-42.676945
445.312500	-43.415504
447.265625	-37.846893
449.218750	-34.126785
451.171875	-37.244007
453.125000	-45.139275
455.078125	-44.334110
457.031250	-36.885468
458.984375	-34.425510
460.937500	-35.238747
462.890625	-37.878475
464.843750	-39.559578
466.796875	-36.428280
468.750000	-43.965187
470.703125	-41.395466
472.656250	-38.102314
474.609375	-36.953659
476.562500	-42.207821
478.515625	-37.247547
480.468750	-37.539246
482.421875	-38.323448
484.375000	-41.062035
486.328125	-48.904690
488.281250	-43.003738
490.234375	-41.476208
492.187500	-37.369507
494.140625	-40.449844
496.093750	-38.498264
498.046875	-36.592949
500.000000	-38.395958
501.953125	-34.130817
503.906250	-37.537457
505.859375	-38.908596
507.812500	-35.474026
509.765625	-32.935158
511.718750	-52.761696
513.671875	-44.529202
515.625000	-36.076504
517.578125	-37.940292
519.531250	-46.543217
521.484375	-38.009274
523.437500	-36.365120
525.390625	-36.295052
527.343750	-55.155785
529.296875	-37.346668
531.250000	-35.616634
533.203125	-36.357323
535.156250	-34.015408
537.109375	-38.304310
539.062500	-39.996941
541.015625	-34.804077
542.968750	-41.259872
544.921875	-42.065132
546.875000	-34.809658
548.828125	-36.844299
550.781250	-39.372982
552.734375	-28.026176
554.687500	-28.825811
556.640625	-37.522438
