Частота (Гц)	Уровень (дБ)
31.250000	-23.371555
62.500000	-25.076223
93.750000	-22.657171
125.000000	-25.541216
156.250000	-25.465464
187.500000	-28.832090
218.750000	-31.012291
250.000000	-22.655785
281.250000	-23.716730
312.500000	-26.663956
343.750000	-24.673134
375.000000	-31.417461
406.250000	-29.640306
437.500000	-20.880110
468.750000	-23.889576
500.000000	-25.528160
531.250000	-25.390905
562.500000	-27.500217
593.750000	-21.569775
625.000000	-21.647020
656.250000	-41.537598
687.500000	-26.904892
718.750000	-22.155418
750.000000	-21.373367
781.250000	-23.402502
812.500000	-25.344646
843.750000	-24.030701
875.000000	-27.224356
906.250000	-33.448162
937.500000	-24.262241
968.750000	-32.432583
1000.000000	-27.164341
1031.250000	-39.482590
1062.500000	-30.384441
1093.750000	-24.369432
1125.000000	-29.600208
1156.250000	-30.288206
1187.500000	-37.286346
1218.750000	-26.542263
1250.000000	-23.986046
1281.250000	-21.715807
1312.500000	-19.879377
1343.750000	-22.784536
1375.000000	-26.371164
1406.250000	-22.359257
1437.500000	-29.326557
1468.750000	-20.230213
1500.000000	-17.020203
1531.250000	-23.413935
1562.500000	-35.222870
1593.750000	-46.749149
1625.000000	-24.564465
1656.250000	-20.170799
1687.500000	-29.654066
1718.750000	-32.989483
1750.000000	-24.030045
1781.250000	-22.138700
1812.500000	-29.951586
1843.750000	-37.095558
1875.000000	-42.561604
1906.250000	-24.767096
1937.500000	-27.128847
1968.750000	-11.089524
2000.000000	-3.005220
2031.250000	-9.825018
2062.500000	-32.395977
2093.750000	-25.447245
2125.000000	-21.347887
2156.250000	-25.558029
2187.500000	-30.767729
2218.750000	-27.636599
2250.000000	-25.044355
2281.250000	-28.015556
2312.500000	-36.112667
2343.750000	-31.892805
2375.000000	-25.433266
2406.250000	-30.678839
2437.500000	-24.330280
2468.750000	-22.276939
2500.000000	-24.429453
2531.250000	-27.509306
2562.500000	-26.933199
2593.750000	-26.605919
2625.000000	-32.229309
2656.250000	-25.637161
2687.500000	-31.680830
2718.750000	-26.571083
2750.000000	-19.692495
2781.250000	-22.402822
2812.500000	-34.608856
2843.750000	-29.414059
2875.000000	-26.754763
2906.250000	-25.758823
2937.500000	-22.307055
2968.750000	-24.744616
3000.000000	-33.304588
3031.250000	-41.903282
3062.500000	-28.165682
3093.750000	-37.521465
3125.000000	-24.302948
3156.250000	-31.932707
3187.500000	-33.827236
3218.750000	-34.874260
3250.000000	-24.491245
3281.250000	-21.995214
3312.500000	-43.893318
3343.750000	-32.917290
3375.000000	-35.766808
3406.250000	-32.239101
3437.500000	-28.153109
3468.750000	-31.625957
3500.000000	-42.242130
3531.250000	-23.641670
3562.500000	-22.558409
3593.750000	-28.633259
3625.000000	-26.939247
3656.250000	-33.532791
3687.500000	-26.582630
3718.750000	-22.360279
3750.000000	-33.045780
3781.250000	-23.335672
3812.500000	-21.834627
3843.750000	-26.732115
3875.000000	-26.471079
3906.250000	-25.527637
3937.500000	-27.145479
3968.750000	-41.219662
