Частота (Гц)	Уровень (дБ)
3.906250	-35.094296
7.812500	-31.701504
11.718750	-34.700150
15.625000	-31.321602
19.531250	-30.875074
23.437500	-32.144024
27.343750	-33.991783
31.250000	-32.515251
35.156250	-30.867064
39.062500	-33.783089
42.968750	-34.190250
46.875000	-33.819736
50.781250	-37.399612
54.687500	-36.563961
58.593750	-35.022362
62.500000	-35.109596
66.406250	-32.522827
70.312500	-34.351223
74.218750	-34.952747
78.125000	-33.920822
82.031250	-36.662426
85.937500	-35.900677
89.843750	-34.508228
93.750000	-35.211163
97.656250	-36.526695
101.562500	-33.764286
105.468750	-32.850269
109.375000	-31.262098
113.281250	-29.576380
117.187500	-33.554615
121.093750	-31.428976
125.000000	-32.540611
128.906250	-36.408436
132.812500	-34.262787
136.718750	-35.428719
140.625000	-36.520603
144.531250	-37.016563
148.437500	-38.123840
152.343750	-33.681637
156.250000	-32.719376
160.156250	-34.520992
164.062500	-33.492046
167.968750	-34.513477
171.875000	-36.556469
175.781250	-35.196541
179.687500	-34.094639
183.593750	-32.453030
187.500000	-33.430401
191.406250	-36.107697
195.312500	-35.111523
199.218750	-34.904007
203.125000	-33.388435
207.031250	-32.889118
210.937500	-32.681908
214.843750	-35.371422
218.750000	-33.085155
222.656250	-32.548679
226.562500	-36.387131
230.468750	-33.534657
234.375000	-36.657433
238.281250	-36.028790
242.187500	-36.472778
246.093750	-34.450348
250.000000	-33.557072
253.906250	-33.682629
257.812500	-30.793470
261.718750	-32.837852
265.625000	-32.121113
269.531250	-31.948912
273.437500	-35.870621
277.343750	-35.097313
281.250000	-33.812096
285.156250	-38.685806
289.062500	-35.223328
292.968750	-32.157570
296.875000	-29.471716
300.781250	-30.121813
304.687500	-31.783493
308.593750	-34.120987
312.500000	-35.791191
316.406250	-35.315636
320.312500	-34.350292
324.218750	-33.220249
328.125000	-33.040150
332.031250	-35.701115
335.937500	-35.410976
339.843750	-34.318718
343.750000	-34.854401
347.656250	-35.281624
351.562500	-35.348797
355.468750	-33.713772
359.375000	-36.270634
363.281250	-33.771564
367.187500	-32.011002
371.093750	-34.094189
375.000000	-31.118908
378.906250	-32.851513
382.812500	-36.894905
386.718750	-32.706726
390.625000	-31.469023
394.531250	-36.590549
398.437500	-36.350845
402.343750	-33.130737
406.250000	-32.508556
410.156250	-33.759136
414.062500	-32.402077
417.968750	-33.817211
421.875000	-37.204571
425.781250	-37.671284
429.687500	-34.573021
433.593750	-35.052006
437.500000	-34.349751
441.406250	-35.381157
445.312500	-35.697090
449.218750	-35.894058
453.125000	-36.102749
457.031250	-35.684528
460.937500	-36.949818
464.843750	-30.898224
468.750000	-31.769924
472.656250	-34.004471
476.562500	-33.231880
480.468750	-34.783276
484.375000	-35.592312
488.281250	-30.164949
492.187500	-33.338169
496.093750	-36.427357
500.000000	-34.812492
503.906250	-33.562454
507.812500	-31.728739
511.718750	-32.255081
515.625000	-34.032440
519.531250	-33.833485
523.437500	-32.131294
527.343750	-32.163422
531.250000	-32.435158
535.156250	-33.373333
539.062500	-35.325741
542.968750	-31.995321
546.875000	-30.659861
550.781250	-30.614677
554.687500	-31.143705
558.593750	-33.571232
562.500000	-36.419201
566.406250	-34.213924
570.312500	-33.638237
574.218750	-33.263905
578.125000	-32.967892
582.031250	-31.552177
585.937500	-34.335484
589.843750	-37.830029
593.750000	-37.141762
597.656250	-34.342419
601.562500	-33.138535
605.468750	-32.609711
609.375000	-32.340576
613.281250	-37.693893
617.187500	-37.059280
621.093750	-40.882679
625.000000	-32.367512
628.906250	-33.610771
632.812500	-34.352829
636.718750	-34.117355
640.625000	-34.085117
644.531250	-36.086983
648.437500	-35.133202
652.343750	-34.288033
656.250000	-34.080353
660.156250	-33.370544
664.062500	-31.235590
667.968750	-31.161922
671.875000	-34.344547
675.781250	-36.150066
679.687500	-34.347565
683.593750	-34.512699
687.500000	-33.287922
691.406250	-32.816532
695.312500	-15.138530
699.218750	-4.543137
703.125000	-8.975812
707.031250	-34.284107
710.937500	-32.666508
714.843750	-34.273109
718.750000	-34.258480
722.656250	-31.148037
726.562500	-36.224163
730.468750	-36.359993
734.375000	-32.815243
738.281250	-32.095444
742.187500	-34.534821
746.093750	-35.589294
750.000000	-33.677555
753.906250	-31.447575
757.812500	-30.371603
761.718750	-32.939930
765.625000	-34.740620
769.531250	-32.954754
773.437500	-36.168148
777.343750	-33.385433
781.250000	-33.517303
785.156250	-33.625832
789.062500	-34.254803
792.968750	-35.819805
796.875000	-31.971107
800.781250	-30.551737
804.687500	-31.931101
808.593750	-37.009647
812.500000	-37.177311
816.406250	-34.385647
820.312500	-31.488596
824.218750	-34.405815
828.125000	-35.076511
832.031250	-34.894844
835.937500	-33.684238
839.843750	-32.160488
843.750000	-33.113941
847.656250	-35.934784
851.562500	-36.316765
855.468750	-34.445183
859.375000	-35.010151
863.281250	-35.914318
867.187500	-34.642124
871.093750	-33.831886
875.000000	-34.337170
878.906250	-36.262074
882.812500	-34.401924
886.718750	-36.479885
890.625000	-36.869522
894.531250	-34.929760
898.437500	-31.364969
902.343750	-30.630398
906.250000	-36.930027
910.156250	-35.351456
914.062500	-35.196709
917.968750	-37.630047
921.875000	-37.147430
925.781250	-33.781132
929.687500	-35.211945
933.593750	-32.004875
937.500000	-33.223782
941.406250	-37.255882
945.312500	-34.653999
949.218750	-31.836720
953.125000	-32.997742
957.031250	-32.999989
960.937500	-32.644890
964.843750	-33.899830
968.750000	-37.724319
972.656250	-34.320023
976.562500	-34.218056
980.468750	-34.886971
984.375000	-32.700985
988.281250	-33.961166
992.187500	-34.076351
