Частота (Гц)	Уровень (дБ)
62.500000	-23.661749
125.000000	-24.466311
187.500000	-32.437046
250.000000	-20.567307
312.500000	-22.890896
375.000000	-21.834265
437.500000	-22.735432
500.000000	-35.883060
562.500000	-18.689880
625.000000	-16.690042
687.500000	-28.667803
750.000000	-36.154842
812.500000	-40.048809
875.000000	-25.936481
937.500000	-18.000597
1000.000000	-19.655165
1062.500000	-19.962456
1125.000000	-17.596634
1187.500000	-24.717365
1250.000000	-23.077271
1312.500000	-21.584017
1375.000000	-23.965506
1437.500000	-29.633333
1500.000000	-23.882107
1562.500000	-21.655184
1625.000000	-20.989059
1687.500000	-22.867226
1750.000000	-24.213673
1812.500000	-22.587770
1875.000000	-24.589163
1937.500000	-8.929880
2000.000000	-2.385391
2062.500000	-9.914974
2125.000000	-25.079594
2187.500000	-28.268053
2250.000000	-28.550486
2312.500000	-31.973074
2375.000000	-24.873779
2437.500000	-25.979324
2500.000000	-23.016851
2562.500000	-17.688648
2625.000000	-19.850172
2687.500000	-24.097437
2750.000000	-16.945906
2812.500000	-19.810896
2875.000000	-27.131516
2937.500000	-17.803587
3000.000000	-20.052198
3062.500000	-22.769358
3125.000000	-23.401497
3187.500000	-29.273169
3250.000000	-25.969782
3312.500000	-23.217531
3375.000000	-32.900185
3437.500000	-25.105986
3500.000000	-19.241444
3562.500000	-20.404783
3625.000000	-32.066101
3687.500000	-24.287802
3750.000000	-26.142307
3812.500000	-17.946510
3875.000000	-15.992377
3937.500000	-18.938124
