Частота (Гц)	Уровень (дБ)
1,953125	-25,419569
3,906250	-26,502684
5,859375	-28,490803
7,812500	-28,994608
9,765625	-34,313946
11,718750	-33,176247
13,671875	-28,227924
15,625000	-29,120815
17,578125	-30,082867
19,531250	-29,904451
21,484375	-29,643787
23,437500	-25,970249
25,390625	-29,844891
27,343750	-34,940643
29,296875	-41,537285
31,250000	-33,169514
33,203125	-27,781643
35,156250	-33,881897
37,109375	-29,408361
39,062500	-25,465273
41,015625	-29,029972
42,968750	-31,628656
44,921875	-28,659346
46,875000	-31,582005
48,828125	-27,755192
50,781250	-32,957100
52,734375	-46,929409
54,687500	-33,271694
56,640625	-29,257977
58,593750	-31,497990
60,546875	-30,382740
62,500000	-27,150784
64,453125	-28,187902
66,406250	-28,771318
68,359375	-28,923706
70,312500	-30,775324
72,265625	-27,947279
74,218750	-24,885185
76,171875	-26,944502
78,125000	-29,737152
80,078125	-30,315460
82,031250	-29,996027
83,984375	-30,907269
85,937500	-27,425467
87,890625	-30,553976
89,843750	-28,795149
91,796875	-29,686443
93,750000	-28,095705
95,703125	-33,040096
97,656250	-35,198044
99,609375	-26,965336
101,562500	-27,693024
103,515625	-27,743727
105,468750	-24,571255
107,421875	-24,998051
109,375000	-28,670288
111,328125	-34,079914
113,281250	-33,657230
115,234375	-27,995178
117,187500	-28,225336
119,140625	-26,905693
121,093750	-32,800068
123,046875	-30,972553
125,000000	-36,638603
126,953125	-28,473162
128,906250	-26,634848
130,859375	-30,286034
132,812500	-31,834543
134,765625	-33,254498
136,718750	-26,508656
138,671875	-27,220709
140,625000	-32,616501
142,578125	-28,698057
144,531250	-27,771809
146,484375	-29,108528
148,437500	-31,239456
150,390625	-34,034634
152,343750	-32,509315
154,296875	-32,039394
156,250000	-31,339958
158,203125	-28,455404
160,156250	-27,477484
162,109375	-26,480146
164,062500	-30,720400
166,015625	-34,799301
167,968750	-38,970318
169,921875	-30,947500
171,875000	-27,491140
173,828125	-25,799246
175,781250	-33,980919
177,734375	-34,521069
179,687500	-37,305569
181,640625	-29,371628
183,593750	-30,475288
185,546875	-27,341923
187,500000	-29,247561
189,453125	-28,862341
191,406250	-30,042965
193,359375	-27,335306
195,312500	-27,915751
197,265625	-31,865053
199,218750	-28,989756
201,171875	-28,397610
203,125000	-26,933994
205,078125	-26,752220
207,031250	-32,503044
208,984375	-30,493881
210,937500	-34,016869
212,890625	-30,025682
214,843750	-27,370628
216,796875	-24,597376
218,750000	-26,511374
220,703125	-31,571024
222,656250	-34,425545
224,609375	-34,383915
226,562500	-31,986473
228,515625	-30,463732
230,468750	-36,376381
232,421875	-30,205408
234,375000	-32,091579
236,328125	-24,030146
238,281250	-26,015575
240,234375	-36,209873
242,187500	-31,959820
244,140625	-34,555145
246,093750	-34,693073
248,046875	-33,203918
250,000000	-33,974812
251,953125	-31,709768
253,906250	-28,337843
255,859375	-28,217510
257,812500	-27,866575
259,765625	-30,567001
261,718750	-28,862183
263,671875	-32,823181
265,625000	-33,104176
267,578125	-30,532389
269,531250	-29,071749
271,484375	-30,039221
273,437500	-31,188017
275,390625	-28,287811
277,343750	-31,132065
279,296875	-25,895254
281,250000	-25,949085
283,203125	-28,558876
285,156250	-28,730080
287,109375	-33,594940
289,062500	-34,210735
291,015625	-38,552795
292,968750	-32,234573
294,921875	-30,281027
296,875000	-27,261164
298,828125	-28,469305
300,781250	-29,319706
302,734375	-35,573315
304,687500	-26,922499
306,640625	-26,900993
308,593750	-39,250446
310,546875	-30,466087
312,500000	-32,922558
314,453125	-32,654816
316,406250	-36,020374
318,359375	-34,162678
320,312500	-34,191238
322,265625	-31,154600
324,218750	-28,076960
326,171875	-31,993721
328,125000	-33,346909
330,078125	-28,188612
332,031250	-24,625423
333,984375	-30,634430
335,937500	-33,711754
337,890625	-33,508923
339,843750	-29,059156
341,796875	-27,454082
343,750000	-28,833834
345,703125	-29,727844
347,656250	-30,820089
349,609375	-25,933308
351,562500	-24,018473
353,515625	-27,297937
355,468750	-33,494770
357,421875	-33,516891
359,375000	-31,631794
361,328125	-38,404675
363,281250	-34,700325
365,234375	-34,492588
367,187500	-30,975929
369,140625	-27,651043
371,093750	-34,032379
373,046875	-25,860273
375,000000	-25,460239
376,953125	-28,269733
378,906250	-39,991165
380,859375	-32,346870
382,812500	-30,174026
384,765625	-27,685442
386,718750	-28,667137
388,671875	-22,772917
390,625000	-26,182158
392,578125	-28,655590
394,531250	-29,730354
396,484375	-27,939075
398,437500	-36,193577
400,390625	-26,499580
402,343750	-28,769751
404,296875	-31,828884
406,250000	-29,477413
408,203125	-30,182306
410,156250	-35,550144
412,109375	-29,054968
414,062500	-30,814920
416,015625	-27,104534
417,968750	-29,926336
419,921875	-33,904537
421,875000	-32,189594
423,828125	-30,884487
425,781250	-31,986206
427,734375	-29,878603
429,687500	-25,008234
431,640625	-28,283070
433,593750	-27,850904
435,546875	-30,958508
437,500000	-32,735519
439,453125	-27,761637
441,406250	-29,625238
443,359375	-37,486214
445,312500	-33,354866
447,265625	-31,974758
449,218750	-31,790911
451,171875	-30,786289
453,125000	-33,131336
455,078125	-34,073112
457,031250	-33,262714
458,984375	-37,821426
460,937500	-30,595177
462,890625	-31,680584
464,843750	-34,936779
466,796875	-27,501064
468,750000	-30,407808
470,703125	-34,283287
472,656250	-31,002285
474,609375	-32,505062
476,562500	-33,713867
478,515625	-33,673016
480,468750	-32,307159
482,421875	-30,121550
484,375000	-30,581602
486,328125	-32,864197
488,281250	-37,760319
490,234375	-34,390366
492,187500	-34,923336
494,140625	-27,900848
496,093750	-25,610960
498,046875	-7,759182
500,000000	-0,061175
501,953125	-7,214039
503,906250	-28,195347
505,859375	-31,313181
507,812500	-39,367203
509,765625	-26,434704
511,718750	-28,243980
513,671875	-36,588482
515,625000	-30,952864
517,578125	-28,437103
519,531250	-33,042095
521,484375	-32,871101
523,437500	-33,217571
525,390625	-31,402699
527,343750	-28,439526
529,296875	-27,574326
531,250000	-27,326880
533,203125	-27,391479
535,156250	-28,641157
537,109375	-29,264446
539,062500	-27,883211
541,015625	-28,064453
542,968750	-26,172552
544,921875	-26,900776
546,875000	-26,729418
548,828125	-28,125618
550,781250	-24,908241
552,734375	-26,972555
554,687500	-40,018822
556,640625	-32,881786
558,593750	-29,125490
560,546875	-31,724165
562,500000	-29,880655
564,453125	-29,286119
566,406250	-26,478989
568,359375	-26,422577
570,312500	-35,527195
572,265625	-34,169792
574,218750	-32,534897
576,171875	-28,144304
578,125000	-29,044163
580,078125	-30,736576
582,031250	-32,030289
583,984375	-41,412186
585,937500	-35,073715
587,890625	-31,499525
589,843750	-29,480303
591,796875	-33,451103
593,750000	-29,684391
595,703125	-29,007483
597,656250	-30,030746
599,609375	-33,330051
601,562500	-32,119186
603,515625	-27,738939
605,468750	-25,463226
607,421875	-29,316917
609,375000	-33,747921
611,328125	-32,632137
613,281250	-34,084229
615,234375	-27,645193
617,187500	-27,428617
619,140625	-28,371056
621,093750	-33,355484
623,046875	-34,455868
625,000000	-33,165730
626,953125	-31,167198
628,906250	-31,026440
630,859375	-37,589748
632,812500	-31,029573
634,765625	-33,347298
636,718750	-32,634602
638,671875	-38,282280
640,625000	-34,609959
642,578125	-31,843550
644,531250	-25,810472
646,484375	-26,699890
648,437500	-26,259359
650,390625	-26,710407
652,343750	-24,494347
654,296875	-27,129988
656,250000	-31,508005
658,203125	-34,160267
660,156250	-32,960732
662,109375	-25,758911
664,062500	-28,970839
666,015625	-33,830311
667,968750	-29,879261
669,921875	-33,619423
671,875000	-33,594997
673,828125	-30,239744
675,781250	-31,756817
677,734375	-31,417009
679,687500	-30,425764
681,640625	-27,051044
683,593750	-28,766500
685,546875	-29,133560
687,500000	-29,128889
689,453125	-33,291817
691,406250	-29,924631
693,359375	-34,285118
695,312500	-34,084747
697,265625	-27,853785
699,218750	-26,587172
701,171875	-31,685343
703,125000	-33,033657
705,078125	-32,271271
707,031250	-26,189413
708,984375	-25,535713
710,937500	-32,460125
712,890625	-25,865339
714,843750	-26,511713
716,796875	-31,562244
718,750000	-30,218216
720,703125	-26,980722
722,656250	-25,825134
724,609375	-29,312513
726,562500	-28,166208
728,515625	-26,624346
730,468750	-34,114040
732,421875	-29,185410
734,375000	-34,300995
736,328125	-34,868931
738,281250	-33,235294
740,234375	-31,343584
742,187500	-33,738770
744,140625	-28,467268
746,093750	-30,370560
748,046875	-35,807098
750,000000	-34,636158
751,953125	-31,866161
753,906250	-36,629845
755,859375	-30,225172
757,812500	-28,878918
759,765625	-26,831451
761,718750	-31,153917
763,671875	-30,096354
765,625000	-28,988031
