Частота (Гц)	Уровень (дБ)
7.812500	-29.737310
15.625000	-28.553741
23.437500	-30.149630
31.250000	-29.764734
39.062500	-29.605574
46.875000	-31.852530
54.687500	-32.387871
62.500000	-31.596785
70.312500	-30.853582
78.125000	-31.545340
85.937500	-32.685436
93.750000	-32.419518
101.562500	-31.112347
109.375000	-28.686075
117.187500	-29.163416
125.000000	-29.997944
132.812500	-32.555080
140.625000	-32.972206
148.437500	-33.229118
156.250000	-30.608530
164.062500	-30.808023
171.875000	-32.253696
179.687500	-30.814110
187.500000	-29.299372
195.312500	-31.231451
203.125000	-31.600082
210.937500	-30.801922
218.750000	-30.842039
226.562500	-31.368639
234.375000	-31.071409
242.187500	-31.508265
250.000000	-31.354183
257.812500	-29.359753
265.625000	-28.886539
273.437500	-30.412947
281.250000	-31.680696
289.062500	-31.302652
296.875000	-27.839027
304.687500	-29.115484
312.500000	-32.395725
320.312500	-31.709435
328.125000	-30.665339
335.937500	-30.541597
343.750000	-30.910378
351.562500	-30.562349
359.375000	-31.731100
367.187500	-29.987394
375.000000	-29.191816
382.812500	-31.475130
390.625000	-30.020821
398.437500	-31.287539
406.250000	-29.569109
414.062500	-30.359213
421.875000	-31.812757
429.687500	-32.215824
437.500000	-31.716990
445.312500	-32.342327
453.125000	-33.501019
460.937500	-31.755068
468.750000	-29.507368
476.562500	-29.998135
484.375000	-29.538662
492.187500	-29.833632
500.000000	-31.399645
507.812500	-29.556200
515.625000	-30.156914
523.437500	-28.757616
531.250000	-29.894720
539.062500	-30.653715
546.875000	-28.326830
554.687500	-28.603176
562.500000	-31.184288
570.312500	-30.608967
578.125000	-30.072222
585.937500	-31.814819
593.750000	-33.314075
601.562500	-30.896307
609.375000	-31.256445
617.187500	-33.813263
625.000000	-30.947727
632.812500	-30.642982
640.625000	-32.141319
648.437500	-32.389252
656.250000	-30.523882
664.062500	-29.065413
671.875000	-28.949646
679.687500	-31.328615
687.500000	-26.476063
695.312500	-6.857002
703.125000	-5.420516
710.937500	-19.623205
718.750000	-30.639719
726.562500	-31.733997
734.375000	-30.319281
742.187500	-31.208834
750.000000	-29.978275
757.812500	-28.632713
765.625000	-31.367718
773.437500	-31.076031
781.250000	-30.350222
789.062500	-31.345318
796.875000	-29.267130
804.687500	-29.276081
812.500000	-32.325161
820.312500	-30.081305
828.125000	-30.920187
835.937500	-30.191006
843.750000	-29.838535
851.562500	-31.854065
859.375000	-31.262604
867.187500	-32.726227
875.000000	-31.501040
882.812500	-31.577185
890.625000	-31.960123
898.437500	-29.318316
906.250000	-30.808126
914.062500	-32.817101
921.875000	-32.754482
929.687500	-31.321583
937.500000	-31.368574
945.312500	-31.380461
953.125000	-29.269840
960.937500	-29.658792
968.750000	-31.735073
976.562500	-31.523888
984.375000	-30.703028
992.187500	-30.571390
1000.000000	-29.733536
1007.812500	-28.652830
1015.625000	-31.663176
1023.437500	-31.664778
1031.250000	-31.178324
1039.062500	-31.207817
1046.875000	-31.262024
1054.687500	-31.577080
1062.500000	-32.065975
1070.312500	-30.863775
1078.125000	-32.160130
1085.937500	-29.267725
1093.750000	-29.801828
1101.562500	-31.116032
1109.375000	-30.469740
1117.187500	-30.157434
1125.000000	-29.636734
1132.812500	-30.467291
1140.625000	-31.143097
1148.437500	-30.846247
1156.250000	-32.242382
1164.062500	-32.147758
1171.875000	-30.998802
1179.687500	-31.894970
1187.500000	-30.984823
1195.312500	-30.491983
1203.125000	-30.847616
1210.937500	-31.721567
1218.750000	-32.418461
1226.562500	-30.299925
1234.375000	-28.849901
1242.187500	-29.996256
1250.000000	-30.756754
1257.812500	-31.375265
1265.625000	-31.852142
1273.437500	-29.962914
1281.250000	-29.863350
1289.062500	-33.466644
1296.875000	-30.432480
1304.687500	-29.386129
1312.500000	-31.028698
1320.312500	-31.643900
1328.125000	-30.009523
1335.937500	-31.967464
1343.750000	-30.238306
1351.562500	-30.682728
1359.375000	-32.707821
1367.187500	-30.630152
1375.000000	-30.477135
1382.812500	-31.296869
1390.625000	-30.688469
1398.437500	-30.437902
1406.250000	-30.880182
1414.062500	-30.750345
1421.875000	-31.350502
1429.687500	-29.741259
1437.500000	-29.440760
1445.312500	-29.988092
1453.125000	-30.681078
1460.937500	-32.086048
1468.750000	-30.306280
1476.562500	-29.992579
1484.375000	-30.187414
1492.187500	-32.583244
1500.000000	-31.267639
1507.812500	-31.931705
1515.625000	-32.072426
1523.437500	-29.520441
1531.250000	-29.046413
1539.062500	-29.742262
1546.875000	-30.001028
1554.687500	-30.253254
1562.500000	-29.941803
1570.312500	-32.008831
1578.125000	-30.826542
1585.937500	-29.411224
1593.750000	-28.864494
1601.562500	-29.652971
1609.375000	-30.419241
1617.187500	-32.526329
1625.000000	-30.725416
1632.812500	-28.491379
1640.625000	-29.779661
1648.437500	-31.807905
1656.250000	-32.255619
1664.062500	-31.433422
1671.875000	-29.547382
1679.687500	-30.997139
1687.500000	-29.079432
1695.312500	-29.038103
1703.125000	-33.117939
1710.937500	-33.308563
1718.750000	-33.288151
1726.562500	-33.126163
1734.375000	-31.742403
1742.187500	-29.766846
1750.000000	-29.939383
1757.812500	-30.094597
1765.625000	-31.490685
1773.437500	-32.677467
1781.250000	-32.493271
1789.062500	-30.088190
1796.875000	-30.013041
1804.687500	-29.307943
1812.500000	-31.387461
1820.312500	-30.886675
1828.125000	-31.567806
1835.937500	-32.060703
1843.750000	-29.972807
1851.562500	-28.763750
1859.375000	-28.566181
1867.187500	-29.386314
1875.000000	-32.173656
1882.812500	-29.253035
1890.625000	-29.749128
1898.437500	-29.687069
1906.250000	-32.408085
1914.062500	-29.324501
1921.875000	-30.656637
1929.687500	-29.808487
1937.500000	-31.380594
1945.312500	-31.605249
1953.125000	-32.555828
1960.937500	-31.745646
1968.750000	-30.523888
1976.562500	-29.400103
1984.375000	-30.243391
1992.187500	-31.348457
2000.000000	-32.086891
2007.812500	-31.596138
2015.625000	-29.702850
2023.437500	-32.218349
2031.250000	-31.113598
2039.062500	-30.707661
2046.875000	-30.984165
2054.687500	-29.037184
2062.500000	-29.943439
2070.312500	-31.376099
2078.125000	-31.798893
2085.937500	-32.354378
2093.750000	-31.139534
2101.562500	-32.183418
2109.375000	-28.393677
2117.187500	-29.873304
2125.000000	-32.016880
2132.812500	-30.629395
2140.625000	-30.866024
2148.437500	-31.544607
2156.250000	-33.023163
2164.062500	-32.466717
2171.875000	-29.609409
2179.687500	-31.332247
2187.500000	-32.073689
2195.312500	-30.426849
2203.125000	-30.169914
2210.937500	-31.096249
2218.750000	-30.231936
2226.562500	-28.938841
2234.375000	-29.476530
2242.187500	-32.195396
2250.000000	-30.560997
2257.812500	-29.448471
2265.625000	-30.938004
2273.437500	-30.483269
2281.250000	-29.863916
2289.062500	-30.096407
2296.875000	-30.560265
2304.687500	-31.109701
2312.500000	-28.533407
2320.312500	-28.562590
2328.125000	-28.672735
2335.937500	-29.489277
2343.750000	-31.341614
2351.562500	-30.426735
2359.375000	-28.844707
2367.187500	-28.334871
2375.000000	-29.979509
2382.812500	-28.946049
2390.625000	-28.314411
2398.437500	-29.392406
2406.250000	-30.643320
2414.062500	-30.858835
2421.875000	-30.551582
2429.687500	-32.289417
2437.500000	-30.286211
2445.312500	-30.824701
2453.125000	-31.048311
2460.937500	-32.740608
2468.750000	-33.814598
2476.562500	-33.038857
2484.375000	-30.734985
2492.187500	-32.108303
2500.000000	-31.372889
2507.812500	-31.065643
2515.625000	-30.784142
2523.437500	-29.845634
2531.250000	-31.987810
2539.062500	-30.943481
2546.875000	-30.321239
2554.687500	-30.251020
2562.500000	-30.835037
2570.312500	-29.971096
2578.125000	-30.335197
2585.937500	-29.823730
2593.750000	-29.961674
2601.562500	-31.066525
2609.375000	-30.489870
2617.187500	-30.134022
2625.000000	-28.841272
2632.812500	-29.111296
2640.625000	-30.303370
2648.437500	-31.792875
2656.250000	-29.682789
2664.062500	-30.691214
2671.875000	-29.593998
2679.687500	-28.936237
2687.500000	-30.455006
2695.312500	-30.090477
2703.125000	-30.212341
2710.937500	-30.135374
2718.750000	-30.405903
2726.562500	-33.949940
2734.375000	-34.257401
2742.187500	-31.196472
2750.000000	-31.102747
2757.812500	-29.113314
2765.625000	-28.950697
2773.437500	-29.955511
2781.250000	-30.067904
2789.062500	-30.763155
2796.875000	-31.658033
2804.687500	-31.347450
2812.500000	-30.237455
2820.312500	-32.147945
2828.125000	-31.588339
2835.937500	-31.267878
2843.750000	-31.390593
2851.562500	-30.794586
2859.375000	-31.511440
2867.187500	-31.515553
2875.000000	-30.531815
2882.812500	-31.262501
2890.625000	-31.673420
2898.437500	-30.883961
2906.250000	-31.620756
2914.062500	-30.919094
2921.875000	-31.541237
2929.687500	-30.803011
2937.500000	-29.956467
2945.312500	-31.354656
2953.125000	-29.963322
2960.937500	-31.028585
2968.750000	-31.793661
2976.562500	-31.444880
2984.375000	-31.800428
2992.187500	-32.647549
3000.000000	-31.918629
3007.812500	-33.567429
3015.625000	-31.760801
3023.437500	-31.812716
3031.250000	-30.458057
3039.062500	-29.254477
3046.875000	-29.091408
3054.687500	-30.331142
3062.500000	-31.827097
3070.312500	-32.065125
3078.125000	-30.878237
3085.937500	-30.604441
3093.750000	-31.007185
3101.562500	-31.933262
3109.375000	-33.397907
3117.187500	-30.706961
3125.000000	-29.216251
3132.812500	-29.864590
3140.625000	-30.985743
3148.437500	-31.656700
3156.250000	-32.634193
3164.062500	-29.818026
3171.875000	-29.251633
3179.687500	-29.210741
3187.500000	-29.750814
3195.312500	-30.362909
3203.125000	-30.851084
3210.937500	-31.982695
3218.750000	-31.263721
3226.562500	-31.432795
3234.375000	-30.370293
3242.187500	-28.884388
3250.000000	-28.819088
3257.812500	-29.290972
3265.625000	-31.098219
3273.437500	-30.818790
3281.250000	-28.952679
3289.062500	-28.871395
3296.875000	-29.260689
3304.687500	-29.932659
3312.500000	-29.286058
3320.312500	-29.076065
3328.125000	-31.240889
3335.937500	-31.033390
3343.750000	-30.237000
3351.562500	-32.358246
3359.375000	-31.884630
