Частота (Гц)	Уровень (дБ)
62,500000	-13,310053
125,000000	-13,075926
187,500000	-13,697994
250,000000	-13,435748
312,500000	-15,573428
375,000000	-14,992796
437,500000	-6,361211
500,000000	0,251688
562,500000	-6,543212
625,000000	-15,267467
687,500000	-14,379560
750,000000	-14,706779
812,500000	-13,558053
875,000000	-13,966182
937,500000	-15,726970
1000,000000	-14,044407
1062,500000	-13,231077
1125,000000	-12,525654
1187,500000	-13,606374
1250,000000	-14,851332
1312,500000	-14,147630
1375,000000	-14,506273
1437,500000	-15,044140
1500,000000	-15,330873
1562,500000	-15,890643
1625,000000	-16,026676
1687,500000	-15,206932
1750,000000	-14,012723
1812,500000	-13,017643
1875,000000	-13,664952
1937,500000	-14,554459
2000,000000	-13,245431
2062,500000	-13,869098
2125,000000	-16,309366
2187,500000	-15,871368
2250,000000	-14,258101
2312,500000	-13,787086
2375,000000	-15,502560
2437,500000	-15,529297
2500,000000	-15,894529
2562,500000	-15,272070
2625,000000	-15,797611
2687,500000	-13,610493
2750,000000	-13,500935
2812,500000	-14,623205
2875,000000	-13,778436
2937,500000	-13,254923
3000,000000	-14,057088
3062,500000	-14,121206
3125,000000	-13,582113
3187,500000	-14,671913
3250,000000	-14,061629
3312,500000	-13,226214
3375,000000	-14,342402
3437,500000	-14,528363
3500,000000	-14,004280
3562,500000	-13,226012
3625,000000	-13,355093
3687,500000	-14,345054
3750,000000	-15,071736
3812,500000	-14,147408
3875,000000	-13,782915
3937,500000	-13,515279
