Частота (Гц)	Уровень (дБ)
3.906250	-36.735786
7.812500	-48.629795
11.718750	-46.599907
15.625000	-35.536842
19.531250	-32.851337
23.437500	-46.052711
27.343750	-32.851620
31.250000	-39.316055
35.156250	-46.640461
39.062500	-39.558170
42.968750	-32.262375
46.875000	-30.820982
50.781250	-31.305313
54.687500	-56.911243
58.593750	-37.482933
62.500000	-59.721302
66.406250	-42.876209
70.312500	-35.196259
74.218750	-28.554117
78.125000	-38.122051
82.031250	-29.763369
85.937500	-29.912899
89.843750	-60.259304
93.750000	-34.926613
97.656250	-37.838646
101.562500	-31.696547
105.468750	-31.145115
109.375000	-31.850248
113.281250	-37.758148
117.187500	-39.071251
121.093750	-37.454189
125.000000	-45.343800
128.906250	-38.510387
132.812500	-37.419209
136.718750	-41.665352
140.625000	-38.300694
144.531250	-28.816713
148.437500	-28.677794
152.343750	-37.169281
156.250000	-44.022373
160.156250	-39.348049
164.062500	-36.325100
167.968750	-34.645954
171.875000	-34.855221
175.781250	-42.839890
179.687500	-33.291290
183.593750	-28.555910
187.500000	-32.709282
191.406250	-35.603699
195.312500	-34.375397
199.218750	-35.612770
203.125000	-40.351933
207.031250	-33.784416
210.937500	-28.968071
214.843750	-30.033981
218.750000	-37.304649
222.656250	-41.465958
226.562500	-40.878723
230.468750	-39.767117
234.375000	-39.777328
238.281250	-34.711861
242.187500	-31.180698
246.093750	-34.821949
250.000000	-32.605701
253.906250	-31.736532
257.812500	-29.185854
261.718750	-29.410677
265.625000	-36.076885
269.531250	-36.194229
273.437500	-36.595879
277.343750	-32.334820
281.250000	-31.643801
285.156250	-38.139008
289.062500	-37.982807
292.968750	-41.029739
296.875000	-34.054565
300.781250	-50.204250
304.687500	-33.231201
308.593750	-31.243605
312.500000	-45.862179
316.406250	-30.315027
320.312500	-30.506693
324.218750	-32.911312
328.125000	-44.106747
332.031250	-40.950863
335.937500	-34.463909
339.843750	-34.619381
343.750000	-31.137094
347.656250	-32.590355
351.562500	-43.066067
355.468750	-41.624386
359.375000	-41.675404
363.281250	-34.013596
367.187500	-40.292519
371.093750	-36.525581
375.000000	-40.664001
378.906250	-31.075672
382.812500	-39.268711
386.718750	-34.510548
390.625000	-31.365425
394.531250	-32.029354
398.437500	-34.272167
402.343750	-44.466381
406.250000	-32.840103
410.156250	-27.872622
414.062500	-29.118086
417.968750	-36.773376
421.875000	-38.398903
425.781250	-35.044811
429.687500	-35.588753
433.593750	-35.388023
437.500000	-44.093491
441.406250	-34.792568
445.312500	-33.331898
449.218750	-40.916977
453.125000	-46.338505
457.031250	-45.521858
460.937500	-33.404320
464.843750	-36.749958
468.750000	-42.644863
472.656250	-48.764771
476.562500	-37.109493
480.468750	-43.118046
484.375000	-38.350662
488.281250	-35.809093
492.187500	-32.644997
496.093750	-29.502909
500.000000	-29.203272
503.906250	-37.125805
507.812500	-32.541718
511.718750	-30.543333
515.625000	-31.937382
519.531250	-37.822742
523.437500	-38.355087
527.343750	-31.477077
531.250000	-36.433723
535.156250	-40.347248
539.062500	-35.395710
542.968750	-34.156174
546.875000	-29.462851
550.781250	-26.660110
554.687500	-29.102129
558.593750	-35.609676
562.500000	-44.690666
566.406250	-47.956181
570.312500	-45.288433
574.218750	-39.345768
578.125000	-41.630356
582.031250	-29.723751
585.937500	-27.635651
589.843750	-34.630466
593.750000	-39.733658
597.656250	-32.150154
601.562500	-31.882431
605.468750	-54.614998
609.375000	-38.303051
613.281250	-33.934830
617.187500	-41.724537
621.093750	-42.627647
625.000000	-40.829380
628.906250	-36.178196
632.812500	-46.551666
636.718750	-37.577133
640.625000	-47.787708
644.531250	-29.240143
648.437500	-35.946548
652.343750	-35.173779
656.250000	-37.793011
660.156250	-35.443546
664.062500	-38.755455
667.968750	-36.842941
671.875000	-30.441853
675.781250	-29.919064
679.687500	-37.674534
683.593750	-39.399181
687.500000	-46.384937
691.406250	-36.955845
695.312500	-40.377834
699.218750	-44.702301
703.125000	-33.052601
707.031250	-31.682175
710.937500	-38.291042
714.843750	-30.534456
718.750000	-33.350788
722.656250	-39.656109
726.562500	-33.317802
730.468750	-29.840765
734.375000	-35.877747
738.281250	-42.508709
742.187500	-30.400127
746.093750	-26.479769
750.000000	-31.705494
753.906250	-34.941151
757.812500	-33.306873
761.718750	-33.246098
765.625000	-33.176018
769.531250	-29.406832
773.437500	-41.521366
777.343750	-43.797497
781.250000	-40.546455
785.156250	-38.839378
789.062500	-33.672161
792.968750	-40.171776
796.875000	-46.056152
800.781250	-41.918270
804.687500	-38.005844
808.593750	-35.211136
812.500000	-31.574621
816.406250	-32.239246
820.312500	-33.137783
824.218750	-36.705887
828.125000	-37.677937
832.031250	-42.222229
835.937500	-34.192986
839.843750	-29.086287
843.750000	-29.624123
847.656250	-31.402739
851.562500	-43.290276
855.468750	-35.138569
859.375000	-29.994877
863.281250	-30.259100
867.187500	-39.157013
871.093750	-44.051098
875.000000	-40.065807
878.906250	-34.107830
882.812500	-31.117790
886.718750	-30.978399
890.625000	-36.774372
894.531250	-39.488087
898.437500	-34.915051
902.343750	-31.569931
906.250000	-33.093399
910.156250	-35.215351
914.062500	-34.676559
917.968750	-30.723574
921.875000	-31.038710
925.781250	-32.054714
929.687500	-32.673569
933.593750	-46.145790
937.500000	-43.999393
941.406250	-40.494255
945.312500	-31.906887
949.218750	-31.163527
953.125000	-32.710125
957.031250	-33.413361
960.937500	-37.014931
964.843750	-34.353020
968.750000	-30.731323
972.656250	-31.280535
976.562500	-38.138279
980.468750	-35.866531
984.375000	-29.807566
988.281250	-31.710457
992.187500	-34.469433
996.093750	-34.143890
1000.000000	-35.853436
1003.906250	-30.767778
1007.812500	-30.215971
1011.718750	-31.679214
1015.625000	-33.683620
1019.531250	-43.574162
1023.437500	-39.293228
1027.343750	-38.872410
1031.250000	-34.768005
1035.156250	-29.396172
1039.062500	-33.368908
1042.968750	-36.628914
1046.875000	-45.854736
1050.781250	-40.210968
1054.687500	-38.406677
1058.593750	-34.771702
1062.500000	-36.848866
1066.406250	-30.810701
1070.312500	-30.449068
1074.218750	-36.888741
1078.125000	-34.506638
1082.031250	-33.808353
1085.937500	-64.550201
1089.843750	-38.402210
1093.750000	-49.495140
1097.656250	-42.640594
1101.562500	-40.073330
1105.468750	-35.675243
1109.375000	-32.650379
1113.281250	-32.180820
1117.187500	-38.333908
1121.093750	-32.828476
