Частота (Гц)	Уровень (дБ)
15.625000	-26.072508
31.250000	-26.601482
46.875000	-28.551296
62.500000	-28.764597
78.125000	-28.491993
93.750000	-29.262268
109.375000	-26.779818
125.000000	-27.295609
140.625000	-28.963789
156.250000	-28.280527
171.875000	-28.088621
187.500000	-27.194471
203.125000	-27.800049
218.750000	-27.486534
234.375000	-28.147219
250.000000	-27.730326
265.625000	-26.725651
281.250000	-28.302233
296.875000	-26.099447
312.500000	-27.638121
328.125000	-27.619942
343.750000	-27.062231
359.375000	-28.090233
375.000000	-27.058924
390.625000	-27.386175
406.250000	-27.390373
421.875000	-28.277349
437.500000	-28.818136
453.125000	-29.938913
468.750000	-27.469988
484.375000	-26.757257
500.000000	-27.239635
515.625000	-26.648823
531.250000	-26.619331
546.875000	-25.996059
562.500000	-26.846491
578.125000	-27.425617
593.750000	-28.944126
609.375000	-28.462542
625.000000	-28.218666
640.625000	-27.962345
656.250000	-27.586456
671.875000	-26.855989
687.500000	-8.968372
703.125000	-4.616319
718.750000	-14.943578
734.375000	-27.134041
750.000000	-26.752356
765.625000	-27.320269
781.250000	-28.624224
796.875000	-26.791670
812.500000	-27.157015
828.125000	-27.417934
843.750000	-27.828558
859.375000	-29.011320
875.000000	-28.853115
890.625000	-28.034643
906.250000	-27.264549
921.875000	-29.042665
937.500000	-28.324171
953.125000	-27.276358
968.750000	-27.911366
984.375000	-27.551374
1000.000000	-26.671108
1015.625000	-27.774040
1031.250000	-28.468670
1046.875000	-28.455828
1062.500000	-28.280741
1078.125000	-27.752779
1093.750000	-26.703934
1109.375000	-27.133831
1125.000000	-27.030224
1140.625000	-27.849562
1156.250000	-28.166391
1171.875000	-28.527550
1187.500000	-28.145679
1203.125000	-28.099712
1218.750000	-27.873447
1234.375000	-26.802315
1250.000000	-27.613955
1265.625000	-27.803232
1281.250000	-27.396269
1296.875000	-27.169004
1312.500000	-27.221029
1328.125000	-27.232008
1343.750000	-27.824049
1359.375000	-27.798035
1375.000000	-27.594091
1390.625000	-27.621246
1406.250000	-27.445139
1421.875000	-27.142630
1437.500000	-26.566755
1453.125000	-27.776068
1468.750000	-27.973055
1484.375000	-27.346119
1500.000000	-28.251402
1515.625000	-28.389908
1531.250000	-26.938126
1546.875000	-27.048897
1562.500000	-27.641356
1578.125000	-27.580759
1593.750000	-26.281086
1609.375000	-27.266550
1625.000000	-27.496319
1640.625000	-26.940216
1656.250000	-28.284273
1671.875000	-27.223127
1687.500000	-26.887251
1703.125000	-28.924885
1718.750000	-30.265160
1734.375000	-28.392366
1750.000000	-27.250746
1765.625000	-28.608374
1781.250000	-29.175709
1796.875000	-26.846060
1812.500000	-27.305370
1828.125000	-28.708054
1843.750000	-27.146681
1859.375000	-26.307426
1875.000000	-27.491135
1890.625000	-26.901466
1906.250000	-27.439638
1921.875000	-26.851080
1937.500000	-28.182615
1953.125000	-29.148493
1968.750000	-27.400494
1984.375000	-27.562489
2000.000000	-28.456978
2015.625000	-27.938942
2031.250000	-28.549181
2046.875000	-27.158428
2062.500000	-27.320793
2078.125000	-29.075846
2093.750000	-28.170904
2109.375000	-26.556410
2125.000000	-27.342396
2140.625000	-27.862028
2156.250000	-29.271332
2171.875000	-27.798908
2187.500000	-28.065926
2203.125000	-27.781134
2218.750000	-27.167858
2234.375000	-27.162975
2250.000000	-27.864290
2265.625000	-27.253008
2281.250000	-27.472244
2296.875000	-27.238554
2312.500000	-26.081356
2328.125000	-25.771524
2343.750000	-27.282324
2359.375000	-26.087273
2375.000000	-26.221323
2390.625000	-26.114115
2406.250000	-27.704016
2421.875000	-28.286520
2437.500000	-27.963123
2453.125000	-28.545914
2468.750000	-30.642069
2484.375000	-28.886702
2500.000000	-28.658043
2515.625000	-27.721510
2531.250000	-28.306894
2546.875000	-27.624020
2562.500000	-27.697100
2578.125000	-27.215902
2593.750000	-27.309866
2609.375000	-27.521975
2625.000000	-26.469685
2640.625000	-27.371910
2656.250000	-27.327356
2671.875000	-26.709349
2687.500000	-26.679295
2703.125000	-27.263014
2718.750000	-28.258909
2734.375000	-29.387506
2750.000000	-27.378012
2765.625000	-26.958906
2781.250000	-27.688177
2796.875000	-28.896891
2812.500000	-27.497059
2828.125000	-27.838737
2843.750000	-28.337048
2859.375000	-27.393379
2875.000000	-27.175684
2890.625000	-28.392670
2906.250000	-28.062599
2921.875000	-27.907608
2937.500000	-27.754974
2953.125000	-28.083397
2968.750000	-28.522541
2984.375000	-29.368259
3000.000000	-29.264256
3015.625000	-29.075562
3031.250000	-27.105934
3046.875000	-26.229950
3062.500000	-27.988367
3078.125000	-27.798014
3093.750000	-28.410425
3109.375000	-28.917957
