Частота (Гц)	Уровень (дБ)
62,500000	-12,754741
125,000000	-14,733067
187,500000	-13,801452
250,000000	-14,342377
312,500000	-18,640858
375,000000	-16,664793
437,500000	-7,209402
500,000000	0,305873
562,500000	-6,926952
625,000000	-13,499808
687,500000	-11,197662
750,000000	-17,186535
812,500000	-18,636528
875,000000	-13,741233
937,500000	-15,899821
1000,000000	-13,113524
1062,500000	-14,351002
1125,000000	-11,312796
1187,500000	-11,379027
1250,000000	-12,300262
1312,500000	-12,539058
1375,000000	-16,885994
1437,500000	-15,299569
1500,000000	-16,058241
1562,500000	-15,142310
1625,000000	-15,757624
1687,500000	-12,984741
1750,000000	-11,646998
1812,500000	-11,474852
1875,000000	-10,847747
1937,500000	-16,004276
2000,000000	-15,339084
2062,500000	-14,141723
2125,000000	-16,271296
2187,500000	-12,718487
2250,000000	-12,215429
2312,500000	-16,314863
2375,000000	-17,860756
2437,500000	-16,281363
2500,000000	-13,263087
2562,500000	-14,856763
2625,000000	-16,057196
2687,500000	-15,046999
2750,000000	-17,420731
2812,500000	-20,295042
2875,000000	-14,161292
2937,500000	-12,037093
3000,000000	-12,189623
3062,500000	-10,051466
3125,000000	-13,359202
3187,500000	-16,397871
3250,000000	-16,239178
3312,500000	-16,308060
3375,000000	-16,253492
3437,500000	-15,151277
3500,000000	-14,249382
3562,500000	-14,440659
3625,000000	-11,740613
3687,500000	-11,985652
3750,000000	-14,525253
3812,500000	-12,936222
3875,000000	-15,539877
3937,500000	-12,001895
