Частота (Гц)	Уровень (дБ)
62.500000	-21.621441
125.000000	-22.002424
187.500000	-21.932528
250.000000	-21.466349
312.500000	-21.308802
375.000000	-21.614609
437.500000	-21.833059
500.000000	-21.041491
562.500000	-20.990786
625.000000	-14.439411
687.500000	-4.580840
750.000000	-8.700002
812.500000	-21.271112
875.000000	-22.154318
937.500000	-21.992800
1000.000000	-21.654211
1062.500000	-21.575705
1125.000000	-21.677969
1187.500000	-22.060822
1250.000000	-21.475071
1312.500000	-21.323250
1375.000000	-21.516008
1437.500000	-21.472326
1500.000000	-21.710190
1562.500000	-21.162590
1625.000000	-21.387184
1687.500000	-22.061214
1750.000000	-22.045044
1812.500000	-21.300859
1875.000000	-20.791489
1937.500000	-21.511135
2000.000000	-21.719242
2062.500000	-21.729946
2125.000000	-21.766083
2187.500000	-22.042681
2250.000000	-21.186201
2312.500000	-20.559187
2375.000000	-20.592932
2437.500000	-22.264681
2500.000000	-22.456264
2562.500000	-21.580017
2625.000000	-21.214128
2687.500000	-21.541153
2750.000000	-21.785221
2812.500000	-21.779776
2875.000000	-21.835501
2937.500000	-21.889109
3000.000000	-22.080782
3062.500000	-21.616798
3125.000000	-21.715891
3187.500000	-21.223173
3250.000000	-20.911333
3312.500000	-20.930662
3375.000000	-21.631422
3437.500000	-21.829975
3500.000000	-21.844696
3562.500000	-22.170500
3625.000000	-21.962162
3687.500000	-22.116173
3750.000000	-21.512348
3812.500000	-21.257114
3875.000000	-21.355623
3937.500000	-21.704048
