Частота (Гц)	Уровень (дБ)
62,500000	-24,167873
125,000000	-16,109978
187,500000	-10,896389
250,000000	-13,652466
312,500000	-17,477982
375,000000	-13,042487
437,500000	-5,546475
500,000000	1,035365
562,500000	-5,275972
625,000000	-9,158669
687,500000	-7,380565
750,000000	-19,460567
812,500000	-16,441555
875,000000	-13,544824
937,500000	-18,029888
1000,000000	-17,627367
1062,500000	-14,169552
1125,000000	-15,781453
1187,500000	-23,189274
1250,000000	-9,100972
1312,500000	-10,480256
1375,000000	-18,451187
1437,500000	-14,280822
1500,000000	-13,560896
1562,500000	-20,845186
1625,000000	-22,022993
1687,500000	-20,626402
1750,000000	-25,806034
1812,500000	-22,188602
1875,000000	-27,695492
1937,500000	-13,618155
2000,000000	-20,170290
2062,500000	-14,679492
2125,000000	-12,952627
2187,500000	-8,962440
2250,000000	-13,442109
2312,500000	-23,853214
2375,000000	-29,900843
2437,500000	-26,946779
2500,000000	-19,575466
2562,500000	-21,456594
2625,000000	-16,723713
2687,500000	-14,960372
2750,000000	-18,272205
2812,500000	-18,070332
2875,000000	-23,562243
2937,500000	-12,636212
3000,000000	-11,365962
3062,500000	-15,574436
3125,000000	-14,390727
3187,500000	-21,291265
3250,000000	-20,518908
3312,500000	-20,202629
3375,000000	-18,602869
3437,500000	-12,285746
3500,000000	-13,838511
3562,500000	-21,832249
3625,000000	-12,674945
3687,500000	-12,220730
3750,000000	-17,316055
3812,500000	-11,733627
3875,000000	-11,748855
3937,500000	-15,108658
