Частота (Гц)	Уровень (дБ)
62,500000	-14,840168
125,000000	-14,367041
187,500000	-13,630390
250,000000	-11,624565
312,500000	-15,205097
375,000000	-16,718920
437,500000	-6,600887
500,000000	0,012755
562,500000	-6,633687
625,000000	-11,901838
687,500000	-11,995951
750,000000	-14,814617
812,500000	-14,082486
875,000000	-14,088935
937,500000	-17,097813
1000,000000	-14,835759
1062,500000	-12,456927
1125,000000	-11,926470
1187,500000	-12,708212
1250,000000	-13,794486
1312,500000	-13,762433
1375,000000	-15,417182
1437,500000	-13,937307
1500,000000	-15,122279
1562,500000	-15,999953
1625,000000	-16,005140
1687,500000	-15,149007
1750,000000	-13,304959
1812,500000	-11,983700
1875,000000	-11,271958
1937,500000	-18,025341
2000,000000	-14,610014
2062,500000	-14,618103
2125,000000	-16,474159
2187,500000	-14,457866
2250,000000	-14,383858
2312,500000	-16,546278
2375,000000	-15,398807
2437,500000	-14,505712
2500,000000	-14,699802
2562,500000	-15,186249
2625,000000	-15,359473
2687,500000	-12,829762
2750,000000	-14,108198
2812,500000	-14,786371
2875,000000	-14,930537
2937,500000	-14,145721
3000,000000	-11,830116
3062,500000	-12,058247
3125,000000	-15,103445
3187,500000	-16,237890
3250,000000	-17,678165
3312,500000	-15,268781
3375,000000	-15,382992
3437,500000	-14,227992
3500,000000	-15,079081
3562,500000	-11,898654
3625,000000	-11,878049
3687,500000	-14,390675
3750,000000	-15,169075
3812,500000	-15,121628
3875,000000	-16,529581
3937,500000	-11,389043
